"name","freq"
"Nightlife","978"
"Bars","953"
"Food","755"
"American (New)","724"
"American (Traditional)","720"
"Breakfast & Brunch","562"
"Mexican","394"
"Sandwiches","384"
"Burgers","373"
"Italian","337"
"Pizza","333"
"Japanese","313"
"Chinese","287"
"Sushi Bars","249"
"Seafood","247"
"Steakhouses","235"
"Asian Fusion","228"
"Cafes","195"
"Fast Food","192"
"Event Planning & Services","173"
"Buffets","171"
"Coffee & Tea","168"
"Salad","168"
"Pubs","167"
"Sports Bars","166"
"Arts & Entertainment","149"
"Thai","131"
"Barbeque","129"
"Vegetarian","128"
"Mediterranean","122"
"Wine Bars","113"
"Desserts","112"
"Chicken Wings","111"
"Diners","110"
"Lounges","109"
"Beer","108"
"Wine & Spirits","108"
"Canadian (New)","107"
"Korean","101"
"Bakeries","94"
"Gastropubs","94"
"Specialty Food","92"
"Cocktail Bars","91"
"French","89"
"Caterers","88"
"Vietnamese","87"
"Indian","83"
"Delis","80"
"Vegan","78"
"Gluten-Free","70"
"Tapas/Small Plates","66"
"Soup","62"
"Southern","62"
"Tex-Mex","62"
"Middle Eastern","60"
"Music Venues","59"
"Breweries","57"
"Greek","56"
"Hotels & Travel","53"
"Comfort Food","50"
"Tapas Bars","50"
"Casinos","47"
"Latin American","47"
"Juice Bars & Smoothies","46"
"Venues & Event Spaces","44"
"Hot Dogs","42"
"Hotels","42"
"Food Delivery Services","41"
"Noodles","41"
"Dim Sum","39"
"Ramen","39"
"Hawaiian","38"
"Ice Cream & Frozen Yogurt","37"
"Ethnic Food","36"
"Cajun/Creole","33"
"Halal","33"
"Irish","33"
"Beer Bar","31"
"Pakistani","31"
"German","30"
"Shopping","29"
"Soul Food","29"
"Grocery","28"
"Local Flavor","27"
"Dance Clubs","26"
"Caribbean","25"
"Bagels","23"
"British","22"
"Spanish","21"
"Creperies","20"
"Taiwanese","19"
"Active Life","18"
"Dive Bars","18"
"African","16"
"Cheesesteaks","16"
"Fish & Chips","16"
"Imported Food","16"
