,stars,text,category,predict
1,1,"Take out $11.99 + tax for a sparse amount of sweet and sour fish when the man told me it would be a large portion. See photo, you can see the bottom of the container. Fish was mostly batter and tough to chew on. Service was fast but they weren't cooking much. 

Would I come here again? Not a chance.",2292,4
2,1,Second time they screw up my order and gave me someone else's!!!!! Why man... The fuck can you guys just get drive thru orders right?!?!?!??!??!? C'mon!!!!,2886,5
3,1,"The a/c really wasn't working, they sold out on the ramen burger during Sunday lunch, and the ramen wasn't all that great...",6487,4
5,1,We walked in and the place was completely empty. The menu was very simple. No cute Japanese decor. And the food was very blah. The service was great very nice lady!,4095,5
10,1,Just spent $11.25 on a nasty salad and a drink. Look at my picture of the lettuce I picked out of it.,6806,5
14,1,This place is now  El Nopal Mexican Grill. I had the Burrito with Carne Asada.  Turned out to be a bean and rice burrito with a little meat. The GF had the chicken fajitas  and they were smothered in tomato sauce.  Picture and the discripiton did not say anything about tomato sauce.Green sauce on the salsa bar and guacamole have way to much cilantro in them. You don't taste anything else. Over all the meal was not very good. I think we will stick with Saborr down the street.,6537,3
15,1,"Not vegan-friendly. Animal products are in all the vegetable side dishes, except for the french fries.",7932,5
17,1,"My coworkers and I went here for dinner today. The rolls had way too much rice, and while we were there the staff installed a TV above the salad bar and set it to play a bunch of distracting garbage.",7108,5
25,1,"I'm a regular at this bar, or at least I was. Jenny, the bartender, has lost me as a loyal customer. She charged me for my drinks while betting tonight and when questioned said ""well, you're leaving with more than you came in with so you're fine.""

Go to Steiner's or Sierra Gold up the road.",449,5
28,1,"Garbage Service!! 
Made me wait for 45 mins for take out!
Didn't even eat the food yet and I writing this review!
Of you value time! Don't go!!",3657,5
29,1,I had the kale salad and it was wilted lettuce and kale nothing special tasting. And my wife had the shrimp tinga and again it was ok fair at the most in taste.  The atmosphere was a five star but the food sucked!,4891,3
32,1,"If you like to wait an hour and 17 minutes for a fish sandwich and fries, be squished in like sardines, and like old outdated decor from the 70's, this is your place! Avoid at all costs.",6639,4
34,1,"Given they have been sold out to AB, I doubt I'll ever return.  As a local business they were excellent.  I will patronize other Local beers, breweries, and restaurants.",4241,5
39,1,speisen sind nicht sehr appetitlich angerichtet und standen schon eine Weile. die Gerichte im Running sushi Band wurden auch nicht oft ausgewechselt,2283,5
42,1,"OMG....THE worst ever. I came here because we went once  to the one inMaui Hawaii , I had the teriyaki burger best ever. Now we live in Las Vegas and I wanted to re-live the Maui experience. ....Well so said No teriyaki burger on menu NO shakes either. So I get the ribs with maui maui shrimp..So big and delicious on menu...actually very small dinner and as I write this I am waiting  for my dinner because ribs were Ice cold...wife had shrimp app just ok, and a root beer float they made special...she had to put my root beer in it cause it taste awfull....and son had pizza he's happy.....still no meal for me....wait..wait...wait...",1956,5
44,1,"i'm forced to put one star but it would be zero. first off i ordered off just eat, it took an hour to get, gave me apple juice instead of iced tea AND DIDNT SHUCK THE SHRIMP. there was still shrimp poo left in the shrimp. if you think you can sell that to costumers and have them coming back your mistaken!!!!",6119,4
47,1,Wrong address so we have to find a nearby restaurant. Check the reviews to find the right address. I will update it when I visit this area next time.,6574,5
48,1,"I am usually overly generous with my stars, so I'm even shocking myself.  The one star is rated purely on the food.  If the view, great cocktails and cute waiter were taken into account, I could go up one or two more.

I ordered the bento box and my lunch partner ordered an Asian noodle salad.  Both were sadly bland and nondescript. In fact, it's odd that we don't lick our plates clean, so it's saying something when we leave food.  Perhaps we ordered the wrong items?  But in my opinion there should be no wrong items on a menu.

I did like their unique cocktails-mine a spicy concoction of citrus and heat...",1383,3
49,1,"Went in for the ambiance, was surprised by the lack of service from Bartender Jay. 

We came in for a two for one beer special on Friday 1/16/2014 at 2:18pm and we asked for service for a friend who arrived late and were told...

""hold on a second I just finished"" (in a very combative tone) 

IMO (in my opinion) as a service professional the correct form of greeting should be ...

""sure thing, let me finish this up"" 

Considering there are many places to drink, I would suggest that the Toby staff be more service oriented. 

Definitely not coming back.",1056,5
50,1,Great location. Average food. A terrible system for processing orders which makes potentially good servers look bad. C'mon Coastal Taco. There are better restaurants that should occupy a space as good as yours.,4692,4
53,1,"Awful.  Ordered to go as I have for several months.  To night there was a mistake.  Ordered and paid for a large item and received a small container.  I just called and was told by the ""manager"" Maggie that she felt it was plenty even as I explained I was in as early as last week and ordered the same exact meal and it was in a different sized container  She fought me on the subject.   Can't believe the experience.  After so many good ones I will NEVER Return.  Great service Maggie. I said I would hate to go elsewhere and she responded you are welcome to go elsewhere.   WOW",2292,5
59,1,"Came with friends and we ordered 4 desserts. Two came out wrong and when we asked to check the order, the server just said ""nope thats what you ordered"" without even checking. When they eventually did check they just came back silently and took the desserts back. The server didnt apologize and generally looked sour.

Onto the food, the sesame rice ball dough was too thick, the sweet tofu pudding was lumpy, and the black sesame paste was chunky.

Steam egg whites and milk with cashew paste tasted okay but was very watery.

There are many other better places to choose from.",2229,3
64,1,"Wir waren diesen Samstag (19.09) mal wieder im Pilum. Eine gute Lage, ausreichend Parkplätze und schönes Ambiente (Innen wie Außen). Für Damen in feinem Schuhwerk ist die Terasse etwas von Nachteil, man sitzt entweder auf Sandboden oder feinem Kiesel, beides sehr unangenehm in Tussiletten ;-)


 Die Bude war voll, eine Hochzeitsgesellschaft hat sich in den Räumlichkeiten ausgebreitet, trotzdem war eine Bedienung sofort zur Stelle und hat unsere Bestellung aus der übersichtlichen Speisekarte aufgenommen. Lustigerweise wusste sie nicht, von welcher Brauerei die angebotenen Biere stammen. Die Dame war sehr nett aber total verpeilt.


 Nachdem unsere Getränke geliefert wurden kam eine weitere Bedienung und erklärte uns höflich dass es aufgrund der Hochzeit mit dem Essen ""ein paar Minuten"" länger dauern könne, das Buffet wäre eben erst eröffnet worden.


 Ca. 1 Stunde später kam das erste Essen, die Bedienung musste sich aber erst durch unsere Nachbartische fragen da sie die Tischnummer wohl vergessen hat. Die Tomaten auf Hünchenfilet und Bandnudeln waren sehr lecker.


 20 Minuten nach dem Hühnchen hat sich ein Rumpsteak mit Salat an unseren Tisch verirrt, wieder mit hilfe der Nachbartische.


 Ca. 20 Minuten später kommt wieder ein Kellner und erklärt uns es gäbe keine Knoblauchbutter für die Steaks mehr, alternativ würde es aber einen Knoblauch-Kräuter-Quark geben. Wir akzeptieren natürlich.


 Weitere 10 Minuten später kommt das Schweinesteak mit dem Quark, aber ""mit"" ohne Knoblauch oder Kräuter. Einfach nur Quark.


 Nach weiteren 20 Minuten kommt mein Rumpsteak, ohne Knoblauchbutter, ohne Quark, ohne Kommentar. Das Fleisch war gut, die Pommes alt, kalt und ungesalzen. Extra Salz oder Pfefferstreuer gab es keine.


 Wieso die Küche (auch bei Stress) nicht 2 bestellte Rumpsteaks gleichzeitig in die Pfanne hauen kann sondern mit knappen 50 Minuten versatz brät, konnte mir auch die Bedienung nicht erklären. Ich war aber schon froh das sie den Weg zum Tisch gefunden hat, damit wir bezahlen konnten.",1326,5
67,1,Some dishes like paneer kadai and dal fry are so bad and these are too regular dishes.  Seriously they need a good chef !,3818,4
71,1,"I find it hard to believe anyone would give this more than one star. I went into today and had the Greek Burger ""lunch special"" and quinoa spinach salad. Both of were flovorless. My boyrfiend and I walked out without finsihing our meals. This is so far from the best Greek food in the valley. I will not be back.",3635,5
78,1,"Zum wiederholten Mal fast eine Stunde gewartet. Das war unser letzter Besuch. Auf unsere Nachfrage reagierte die junge Bedienung pampig. Als wir nach bald einer Stunde gingen, behandelte sie uns wie Verbrecher und rempelte meine Partnerin an. Peinlich! Da hier immer wieder das Restaurant oben von unten getrennt wird, eine Anmerkung: Es ist ein und das selbe Restaurant.",2292,5
83,1,"Have the rudest server ever. I ordered rosted pork with ribs and gave me just rosted pork. Complained and the server came at the front and talk to the other server. She came back and told me that they dont have ribs anymore. Sure, whatever! I can definitely see ribs hanging at fhe front. Then they always give me my bill when i'm not even halfway done my food. This restaurant should have a good customer training!",2713,5
90,1,"A friend and I ate breakfast this morning at the Bacon Bar for the first time. Half way through my hash browns I found a piece of metal which the waitress identified as a piece of a Brillo pad. I had eaten only a half dozen bites of my Italian scramble which I did not like, and stopped eating at that point. About an hour after leaving the restaurant, I came down with severe stomach cramps and many trips to the bathroom. I will not be returning to this place, even though the waitress was friendly and the service was fast.",1248,4
