"name","freq"
"I",23428
"The",10683
"but",8235
"good",5796
"food",5672
"place",5109
"we",4696
"great",3511
"We",3163
"not",3074
"really",2756
"time",2673
"service",2602
"It",2304
"like",2304
"our",2300
"back",2174
"little",1958
"They",1949
"menu",1932
"My",1836
"This",1831
"nice",1792
"well",1758
"chicken",1732
"delicious",1579
"pretty",1569
"always",1530
"I've",1519
"I'm",1503
"lunch",1484
"sauce",1455
"definitely",1364
"friendly",1351
"bit",1257
"much",1228
"came",1217
"cheese",1215
"try",1196
"salad",1174
"them",1171
"meal",1165
"fresh",1161
"pizza",1159
"It's",1137
"bar",1134
"made",1124
"love",1092
"NOTgood",1077
"eat",1073
"dinner",1071
"fries",1050
"first",1041
"NOTlike",1022
"night",1013
"side",1008
"think",998
"after",994
"staff",985
"did",962
"table",952
"make",943
"wait",939
"best",927
"though",910
"tasty",906
"Great",890
"way",889
"over",882
"burger",880
"small",866
"hot",862
"times",857
"NOTgo",856
"still",854
"say",848
"experience",847
"But",844
"no",840
"right",840
"don't",821
"A",819
"know",813
"sure",812
"around",811
"amazing",792
"area",792
"rice",791
"dish",780
"Vegas",779
"tried",777
"come",773
"meat",771
"dishes",767
"fried",757
"take",757
"didn't",754
"sweet",754
"sushi",750
"big",745
"since",741
"soup",737
"excellent",734
"price",734
"atmosphere",733
"beef",726
"lot",726
"something",724
"could",722
"day",721
"beer",715
"sandwich",712
"spicy",710
"And",705
"There",705
"So",703
"he",702
"location",700
"stars",696
"different",692
"next",692
"thing",689
"who",688
"give",679
"Service",674
"quite",673
"many",672
"everything",671
"any",670
"happy",670
"places",670
"better",668
"breakfast",668
"bread",667
"NOThere",662
"enough",661
"then",651
"large",650
"see",642
"drink",639
"flavor",639
"You",639
"cooked",631
"server",631
"awesome",625
"find",625
"spot",619
"favorite",617
"drinks",616
"selection",614
"pork",613
"again",606
"ever",595
"enjoyed",590
"long",586
"friend",585
"friends",582
"looking",577
"she",577
"prices",574
"perfect",572
"said",571
"super",569
"new",567
"huge",557
"busy",554
"For",550
"quality",549
"full",548
"Good",545
"fish",542
"visit",541
"dessert",539
"steak",535
"served",532
"last",530
"Our",528
"every",527
"wasn't",527
"feel",521
"never",521
"Very",520
"coffee",518
"fast",517
"fan",514
"NOTtry",514
"hour",508
"worth",506
"I'd",504
"items",500
"Overall",499
"took",498
"things",495
"top",490
"shrimp",489
"home",487
"inside",487
"wine",486
"dining",485
"NOTgreat",484
"minutes",480
"Food",478
"All",476
"probably",476
"taste",476
"thought",472
"another",471
"wanted",471
"now",470
"same",465
"fun",462
"kind",462
"restaurants",462
"outside",460
